Experiment,Cow,scan_date,icetag_covered_pm1j,icetag_covered_same_day,alert_present_pm1j,n_alerts_pm1j,Pct_locomotion,Pct_lying,Pct_Idle,Pct_Vigilance,Pct_Explo,Pct_eating,Pct_Social,Pct_Maintenance,Pct_Other
Fall 2019,5865,2019-12-12,1,1,1,1,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
Fall 2019,2062,2019-12-12,1,1,1,1,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
Fall 2019,2041,2019-12-12,1,1,0,0,0.2222222222222222,0.0,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Fall 2019,2066,2019-12-12,1,1,1,1,0.1111111111111111,0.0,0.5555555555555556,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0
Fall 2019,5879,2019-12-12,1,1,1,1,0.1111111111111111,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Fall 2019,3444,2019-12-12,1,1,1,1,0.1111111111111111,0.0,0.3333333333333333,0.0,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0
Fall 2019,2081,2019-12-12,1,1,0,0,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
Fall 2019,5875,2019-12-12,1,1,1,1,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2019,5874,2019-12-12,1,1,1,1,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Fall 2019,8517,2019-12-13,1,1,0,0,0.1111111111111111,0.0,0.5555555555555556,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0
Fall 2019,8526,2019-12-13,1,1,0,0,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0
Fall 2019,8527,2019-12-13,1,1,0,0,0.1111111111111111,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Fall 2019,3437,2019-12-13,1,1,0,0,0.2222222222222222,0.0,0.4444444444444444,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0
Fall 2019,5854,2019-12-13,1,1,0,0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.4444444444444444,0.0,0.0,0.0,0.0
Fall 2019,5865,2019-12-13,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2019,2062,2019-12-13,1,1,1,1,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
Fall 2019,2041,2019-12-13,1,1,0,0,0.2222222222222222,0.0,0.5555555555555556,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
Fall 2019,2066,2019-12-13,1,1,0,0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Fall 2019,3444,2019-12-13,1,1,1,1,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Fall 2019,2081,2019-12-13,1,1,0,0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2019,5875,2019-12-13,1,1,1,1,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2019,5874,2019-12-13,1,1,0,0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Fall 2021,8533,2021-11-01,0,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
Fall 2021,2041,2021-11-01,0,0,0,0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Fall 2021,7443,2021-11-01,0,0,0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Fall 2021,8517,2021-11-01,0,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
Fall 2021,8539,2021-11-01,0,0,0,0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
Fall 2021,8528,2021-11-01,0,0,0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Fall 2021,8057,2021-11-01,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Fall 2021,8063,2021-11-01,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
Fall 2021,8061,2021-11-01,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Fall 2021,2210,2021-11-01,0,0,0,0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Fall 2021,8557,2021-11-01,0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Fall 2021,8548,2021-11-01,0,0,0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Fall 2021,8089,2021-11-01,0,0,0,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
Fall 2021,8096,2021-11-01,0,0,0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Fall 2021,8099,2021-11-01,0,0,0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Fall 2021,8076,2021-11-01,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
Fall 2021,8086,2021-11-01,0,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2021,8080,2021-11-01,0,0,0,0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Fall 2021,8533,2021-11-03,0,0,0,0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
Fall 2021,2041,2021-11-03,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2021,7443,2021-11-03,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2021,8539,2021-11-03,0,0,0,0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0
Fall 2021,8528,2021-11-03,0,0,0,0,0.2,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0
Fall 2021,8517,2021-11-03,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2021,8063,2021-11-03,0,0,0,0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.0
Fall 2021,8057,2021-11-03,0,0,0,0,0.0,0.0,0.2,0.0,0.0,0.6,0.2,0.0,0.0
Fall 2021,8061,2021-11-03,0,0,0,0,0.2,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.0
Fall 2021,8548,2021-11-03,0,0,0,0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.0
Fall 2021,8557,2021-11-03,0,0,0,0,0.0,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0
Fall 2021,2210,2021-11-03,0,0,0,0,0.2,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0
Fall 2021,8089,2021-11-03,0,0,0,0,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0
Fall 2021,8096,2021-11-03,0,0,0,0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0
Fall 2021,8099,2021-11-03,0,0,0,0,0.4,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0
Fall 2021,8076,2021-11-03,0,0,0,0,0.2,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0
Fall 2021,8080,2021-11-03,0,0,0,0,0.2,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0
Fall 2021,8086,2021-11-03,0,0,0,0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2021,8525,2021-11-04,0,0,0,0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0
Fall 2021,8505,2021-11-04,0,0,0,0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0
Fall 2021,5875,2021-11-04,0,0,0,0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0
Fall 2021,8537,2021-11-04,0,0,0,0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0
Fall 2021,8536,2021-11-04,0,0,0,0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,0.0,0.0
Fall 2021,8529,2021-11-04,0,0,0,0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0
Fall 2021,8065,2021-11-04,0,0,0,0,0.2,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0
Fall 2021,8562,2021-11-04,0,0,0,0,0.2,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0
Fall 2021,725,2021-11-04,0,0,0,0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0
Fall 2021,2208,2021-11-04,0,0,0,0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0
Fall 2021,2213,2021-11-04,0,0,0,0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0
Fall 2021,8054,2021-11-04,0,0,0,0,0.0,0.0,0.4,0.2,0.0,0.4,0.0,0.0,0.0
Fall 2021,8090,2021-11-04,0,0,0,0,0.2,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0
Fall 2021,8110,2021-11-04,0,0,0,0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0
Fall 2021,8106,2021-11-04,0,0,0,0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0
Fall 2021,8082,2021-11-04,0,0,0,0,0.4,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0
Fall 2021,8056,2021-11-04,0,0,0,0,0.4,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0
Fall 2021,8079,2021-11-04,0,0,0,0,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.0,0.0
Fall 2021,2041,2021-11-05,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2021,8533,2021-11-05,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2021,7443,2021-11-05,0,0,0,0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0
Fall 2021,8539,2021-11-05,0,0,0,0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0
Fall 2021,8517,2021-11-05,0,0,0,0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
Fall 2021,8528,2021-11-05,0,0,0,0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0
Fall 2021,8063,2021-11-05,0,0,0,0,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0
Fall 2021,8057,2021-11-05,0,0,0,0,0.2,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0
Fall 2021,8061,2021-11-05,0,0,0,0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0
Fall 2021,8557,2021-11-05,0,0,0,0,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0
